363,04
364,12
365,28
366,04
367,08
368,24
369,22
370,27
371,28
372,08
373,29
374,08
375,09
376,05
377,33
378,09
379,07
380,08
381,26
382,13
383,21
384,22
385,03
386,14
387,11
388,03
389,01
390,06
391,07
392,14
393,20
394,32
395,20
396,23
397,16
398,29
399,07
400,25
401,02
402,31
403,15
404,18
405,03
406,16
407,21
408,07
409,18
410,32
411,29
412,12
413,31
414,27
415,32
416,31
417,10
418,31
419,25
420,03
421,24
422,27
423,19
424,25
425,18
426,24
427,03
428,30
429,33
430,07
431,30
432,16
433,20
434,31
435,21
436,13
437,03
438,23
439,29
440,13
441,22
442,06
443,22
444,18
445,03
446,29
447,17
448,06
449,10
450,12
451,03
452,16
453,02
454,12
455,02
456,19
457,18
458,17
459,09
460,20
461,06
462,24
463,30
464,09
465,20
466,12
467,03
468,14
469,28
470,13
471,06
472,18
473,33
474,08
475,33
476,18
477,27
478,29
479,21
480,22
481,07
482,20
483,15
484,03
485,06
486,02
487,18
488,33
489,16
490,03
491,21
492,18
493,32
494,09
495,33
496,04
497,30
498,19
499,24
500,31
501,11
502,08
503,08
504,31
505,10
506,01
507,04
508,07
509,23
510,17
511,12
512,02
513,25
514,22
515,20
516,33
517,18
518,02
519,20
520,22
521,03
522,24
523,14
524,15
525,25
526,04
527,30
528,33
529,03
530,32
531,13
532,30
533,01
534,09
535,21
536,11
537,05
538,25
539,10
540,33
541,25
542,26
543,04
544,22
545,20
546,06
547,16
548,19
549,16
550,04
551,02
552,01
553,21
554,10
555,30
556,24
557,30
558,09
559,03
560,30
561,24
562,12
563,19
564,23
565,12
566,33
567,13
568,33
569,02
570,17
571,16
572,29
573,21
574,11
575,08
576,01
577,08
578,11
579,08
580,28
581,09
582,19
583,33
584,13
585,18
586,12
587,30
588,14
589,13
590,28
591,13
592,22
593,16
594,28
595,23
596,25
597,08
598,33
599,17
600,21
601,20
602,02
603,05
604,03
605,02
606,28
607,31
608,11
609,14
610,05
611,03
612,06
613,22
614,13
615,02
616,03
617,27
618,16
619,08
620,07
621,08
622,07
623,18
624,09
625,12
626,07
627,04
628,09
629,07
630,23
631,12
632,20
633,05
634,07
635,18
636,08
637,07
638,03
639,04
640,01
641,03
642,33
643,26
644,13
645,21
646,20
647,09
648,22
649,23
650,33
651,10
652,16
653,01
654,08
655,17
656,16
657,05
658,31
659,25
660,26
661,28
662,11
663,04
664,26
665,03
666,19
667,11
668,23
669,17
670,01
671,29
672,18
673,08
674,27
675,24
676,27
677,22
678,16
679,31
680,08
681,14
682,05
683,08
684,31
685,08
686,03
687,22
688,23
689,09
690,30
691,26
692,24
693,25
694,20
695,08
696,29
697,23
698,01
699,01
700,28
701,31
702,21
703,30
704,29
705,07
706,02
707,22
708,03
709,13
710,22
711,22
712,09
713,16
714,09
715,10
716,18
717,22
718,27
719,03
720,11
721,08
722,02
723,12
724,16
725,16
726,30
727,20
728,21
729,15
730,30
731,05
732,24
733,09
734,12
735,30
736,21
737,11
738,23
739,05
740,33
741,01
742,01
743,13
744,19
745,22
746,11
747,26
748,30
749,05
750,04
751,31
752,04
753,29
754,13
755,01
756,10
757,01
758,17
759,27
760,19
761,23
762,27
763,16
764,01
