objectIndex,max_jf,can_rwIds,ed_rwIds
200100022186,10,"32030001,32030002","32030001,32030002"
200100022657,1,32030001,32030001
200100022694,36,"32030001,32030002,32030003","32030001,32030002,32030003"
200100023263,10,"32030001,32030002","32030001,32030002"
200100023601,142,"32030001,32030002,32030003,32030004,32030005,32030006","32030001,32030002,32030003,32030004,32030005,32030006"
200100024325,11,"32030001,32030002","32030001,32030002"
200100024804,31,"32030001,32030002,32030003","32030001,32030002"
200100025358,35,"32030001,32030002,32030003","32030001,32030002,32030003"
200100025361,20,"32030001,32030002","32030001,32030002"
200100025629,20,"32030001,32030002","32030001,32030002"
200100026393,10,"32030001,32030002","32030001,32030002"
200100028131,1,32030001,32030001
200100028242,10,"32030001,32030002",NULL
200100028310,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200100028483,15,"32030001,32030002","32030001,32030002"
200100028677,33,"32030001,32030002,32030003","32030001,32030002,32030003"
200100029026,13,"32030001,32030002",NULL
200100029078,21,"32030001,32030002","32030001,32030002"
200100029506,10,"32030001,32030002",NULL
200100029680,20,"32030001,32030002","32030001,32030002"
200100030356,12,"32030001,32030002","32030001,32030002"
200100030375,12,"32030001,32030002","32030001,32030002"
200100030382,40,"32030001,32030002,32030003","32030001,32030002,32030003"
200100030383,10,"32030001,32030002",NULL
200100030390,23,"32030001,32030002",NULL
200100030406,11,"32030001,32030002","32030001,32030002"
200100030407,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200100030408,11,"32030001,32030002","32030001,32030002"
200100030415,52,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200100030416,15,"32030001,32030002","32030001,32030002"
200100030430,13,"32030001,32030002","32030001,32030002"
200100030432,34,"32030001,32030002,32030003","32030001,32030002,32030003"
200100030446,43,"32030001,32030002,32030003",NULL
200100030455,3,32030001,NULL
200100030475,52,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200100030478,86,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
200100030480,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200000013,21,"32030001,32030002",NULL
200200000029,12,"32030001,32030002",NULL
200200000037,10,"32030001,32030002","32030001,32030002"
200200000070,80,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
200200000072,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200000075,12,"32030001,32030002","32030001,32030002"
200200000105,10,"32030001,32030002","32030001,32030002"
200200000126,15,"32030001,32030002","32030001,32030002"
200200000140,30,"32030001,32030002,32030003",NULL
200200000187,13,"32030001,32030002","32030001,32030002"
200200000241,41,"32030001,32030002,32030003","32030001,32030002,32030003"
200200000313,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200200000397,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200200000439,10,"32030001,32030002","32030001,32030002"
200200000459,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200000485,10,"32030001,32030002","32030001,32030002"
200200000505,31,"32030001,32030002,32030003","32030001,32030002,32030003"
200200000522,2,32030001,32030001
200200000567,2,32030001,32030001
200200000584,14,"32030001,32030002","32030001,32030002"
200200000610,1,32030001,32030001
200200000816,27,"32030001,32030002","32030001,32030002"
200200000822,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200000915,66,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200000959,40,"32030001,32030002,32030003","32030001,32030002,32030003"
200200000986,10,"32030001,32030002","32030001,32030002"
200200001157,21,"32030001,32030002","32030001,32030002"
200200001523,11,"32030001,32030002","32030001,32030002"
200200001565,35,"32030001,32030002,32030003","32030001,32030002"
200200001638,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200200001711,4,32030001,32030001
200200001737,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200001784,2,32030001,32030001
200200001872,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200200001883,1,32030001,32030001
200200001893,150,"32030001,32030002,32030003,32030004,32030005,32030006,32030007","32030001,32030002,32030003,32030004,32030005,32030006,32030007"
200200001898,41,"32030001,32030002,32030003","32030001,32030002,32030003"
200200001981,1,32030001,32030001
200200002153,10,"32030001,32030002",NULL
200200002182,17,"32030001,32030002","32030001,32030002"
200200002260,72,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200002590,38,"32030001,32030002,32030003","32030001,32030002,32030003"
200200002940,7,32030001,32030001
200200003000,20,"32030001,32030002","32030001,32030002"
200200003016,11,"32030001,32030002","32030001,32030002"
200200003114,10,"32030001,32030002","32030001,32030002"
200200003126,52,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200003333,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200200003378,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200003778,9,32030001,32030001
200200003806,11,"32030001,32030002","32030001,32030002"
200200003895,1,32030001,32030001
200200003987,19,"32030001,32030002",NULL
200200004113,40,"32030001,32030002,32030003","32030001,32030002,32030003"
200200004155,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200200004312,66,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200004355,10,"32030001,32030002","32030001,32030002"
200200004511,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200004660,60,"32030001,32030002,32030003,32030004",NULL
200200004731,10,"32030001,32030002","32030001,32030002"
200200004895,64,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200005124,12,"32030001,32030002","32030001,32030002"
200200005214,11,"32030001,32030002",NULL
200200005215,23,"32030001,32030002","32030001,32030002"
200200005287,250,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009","32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009"
200200005346,32,"32030001,32030002,32030003",NULL
200200005356,10,"32030001,32030002",NULL
200200005390,15,"32030001,32030002",32030002
200200005460,41,"32030001,32030002,32030003","32030001,32030002,32030003"
200200005568,10,"32030001,32030002","32030001,32030002"
200200005891,10,"32030001,32030002","32030001,32030002"
200200005949,10,"32030001,32030002","32030001,32030002"
200200006061,74,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200006208,300,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010"
200200007185,75,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200007288,70,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200007531,10,"32030001,32030002","32030001,32030002"
200200007557,12,"32030001,32030002","32030001,32030002"
200200007774,80,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
200200007893,57,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200008180,1,32030001,32030001
200200008287,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200200008966,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200009256,130,"32030001,32030002,32030003,32030004,32030005,32030006",NULL
200200009586,14,"32030001,32030002","32030001,32030002"
200200009625,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200009640,10,"32030001,32030002","32030001,32030002"
200200009836,300,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010"
200200009847,30,"32030001,32030002,32030003",NULL
200200010459,1,32030001,32030001
200200011547,1,32030001,32030001
200200011572,30,"32030001,32030002,32030003",NULL
200200011659,23,"32030001,32030002","32030001,32030002"
200200012108,81,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
200200012631,20,"32030001,32030002","32030001,32030002"
200200012731,20,"32030001,32030002",NULL
200200012937,12,"32030001,32030002","32030001,32030002"
200200013576,34,"32030001,32030002,32030003","32030001,32030002,32030003"
200200013600,24,"32030001,32030002","32030001,32030002"
200200013750,10,"32030001,32030002","32030001,32030002"
200200013848,1,32030001,32030001
200200013860,70,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200013945,40,"32030001,32030002,32030003","32030001,32030002,32030003"
200200014020,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200014025,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200200014044,10,"32030001,32030002","32030001,32030002"
200200014371,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200014394,100,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
200200014473,21,"32030001,32030002","32030001,32030002"
200200014481,20,"32030001,32030002","32030001,32030002"
200200014665,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200200014696,1,32030001,32030001
200200014703,34,"32030001,32030002,32030003","32030001,32030002,32030003"
200200014971,130,"32030001,32030002,32030003,32030004,32030005,32030006","32030001,32030002,32030003,32030004,32030005,32030006"
200200015121,20,"32030001,32030002","32030001,32030002"
200200015222,22,"32030001,32030002","32030001,32030002"
200200015985,10,"32030001,32030002","32030001,32030002"
200200016422,1,32030001,32030001
200200016573,37,"32030001,32030002,32030003","32030001,32030002,32030003"
200200017567,10,"32030001,32030002",NULL
200200018007,26,"32030001,32030002",NULL
200200018538,23,"32030001,32030002","32030001,32030002"
200200019027,30,"32030001,32030002,32030003",NULL
200200019049,20,"32030001,32030002","32030001,32030002"
200200019868,8,32030001,32030001
200200020860,7,32030001,32030001
200200021367,8,32030001,32030001
200200022397,40,"32030001,32030002,32030003","32030001,32030002,32030003"
200200022740,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200200024014,20,"32030001,32030002","32030001,32030002"
200200024359,11,"32030001,32030002","32030001,32030002"
200200024403,11,"32030001,32030002",32030002
200200024805,35,"32030001,32030002,32030003","32030001,32030002,32030003"
200200024920,10,"32030001,32030002","32030001,32030002"
200200025141,21,"32030001,32030002","32030001,32030002"
200200026082,10,"32030001,32030002","32030001,32030002"
200200026113,23,"32030001,32030002",32030002
200200026604,10,"32030001,32030002","32030001,32030002"
200200026766,69,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200027110,10,"32030001,32030002","32030001,32030002"
200200027540,10,"32030001,32030002","32030001,32030002"
200200027960,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200028042,38,"32030001,32030002,32030003","32030001,32030002,32030003"
200200028462,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200028865,10,"32030001,32030002","32030001,32030002"
200200028984,22,"32030001,32030002","32030001,32030002"
200200029023,20,"32030001,32030002","32030001,32030002"
200200029593,20,"32030001,32030002","32030001,32030002"
200200030328,64,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200200030339,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200200030349,20,"32030001,32030002","32030001,32030002"
200200030366,40,"32030001,32030002,32030003","32030001,32030002,32030003"
200200030387,33,"32030001,32030002,32030003","32030001,32030002,32030003"
200200030391,39,"32030001,32030002,32030003","32030001,32030002,32030003"
200200030431,22,"32030001,32030002",NULL
200200030434,31,"32030001,32030002,32030003","32030001,32030002,32030003"
200200030448,84,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
200200030451,10,"32030001,32030002",NULL
200300000028,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200300000073,2,32030001,32030001
200300000083,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200300000137,120,"32030001,32030002,32030003,32030004,32030005,32030006","32030001,32030002,32030003,32030004,32030005,32030006"
200300000150,200,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008"
200300000159,1,32030001,32030001
200300000247,200,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008"
200300000256,34,"32030001,32030002,32030003","32030001,32030002,32030003"
200300000270,10,"32030001,32030002","32030001,32030002"
200300000366,2,32030001,32030001
200300000370,51,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200300000450,12,"32030001,32030002",NULL
200300000511,1,32030001,32030001
200300000594,11,"32030001,32030002","32030001,32030002"
200300000669,10,"32030001,32030002","32030001,32030002"
200300000850,22,"32030001,32030002","32030001,32030002"
200300000903,1,32030001,32030001
200300000936,1,32030001,32030001
200300000954,1,32030001,32030001
200300000978,54,"32030001,32030002,32030003,32030004","32030001,32030002,32030003"
200300000979,37,"32030001,32030002,32030003","32030001,32030002,32030003"
200300001020,1,32030001,32030001
200300001052,10,"32030001,32030002","32030001,32030002"
200300001053,33,"32030001,32030002,32030003","32030001,32030002,32030003"
200300001116,21,"32030001,32030002","32030001,32030002"
200300001129,10,"32030001,32030002","32030001,32030002"
200300001190,5,32030001,32030001
200300001246,1,32030001,32030001
200300001317,101,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
200300001418,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200300001423,33,"32030001,32030002,32030003","32030001,32030002,32030003"
200300001456,1,32030001,32030001
200300001595,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200300001664,80,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
200300001691,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200300001770,41,"32030001,32030002,32030003","32030001,32030002,32030003"
200300001945,10,"32030001,32030002","32030001,32030002"
200300002041,12,"32030001,32030002","32030001,32030002"
200300002054,80,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
200300002395,60,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200300002405,20,"32030001,32030002","32030001,32030002"
200300002505,70,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200300002565,12,"32030001,32030002","32030001,32030002"
200300002918,10,"32030001,32030002","32030001,32030002"
200300002966,15,"32030001,32030002","32030001,32030002"
200300002984,13,"32030001,32030002","32030001,32030002"
200300003268,1,32030001,32030001
200300003299,1,32030001,32030001
200300003332,25,"32030001,32030002","32030001,32030002"
200300003382,10,"32030001,32030002",NULL
200300004043,10,"32030001,32030002","32030001,32030002"
200300004173,20,"32030001,32030002","32030001,32030002"
200300004430,23,"32030001,32030002","32030001,32030002"
200300004435,21,"32030001,32030002","32030001,32030002"
200300004589,31,"32030001,32030002,32030003","32030001,32030002,32030003"
200300004658,20,"32030001,32030002","32030001,32030002"
200300004871,1,32030001,32030001
200300005042,1,32030001,32030001
200300005196,128,"32030001,32030002,32030003,32030004,32030005,32030006","32030001,32030002,32030003,32030004,32030005,32030006"
200300005312,300,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010"
200300005322,30,"32030001,32030002,32030003","32030001,32030002,32030003"
200300005367,2,32030001,32030001
200300005532,20,"32030001,32030002","32030001,32030002"
200300005544,35,"32030001,32030002,32030003","32030001,32030002,32030003"
200300005564,3,32030001,32030001
200300005765,31,"32030001,32030002,32030003","32030001,32030002,32030003"
200300005795,104,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
200300005969,110,"32030001,32030002,32030003,32030004,32030005",NULL
200300005984,50,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200300006182,21,"32030001,32030002","32030001,32030002"
200300006529,20,"32030001,32030002","32030001,32030002"
200300006687,1,32030001,32030001
200300006835,20,"32030001,32030002",NULL
200300007102,44,"32030001,32030002,32030003","32030001,32030002,32030003"
200300007518,300,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010"
200300007601,301,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010"
200300007738,302,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010"
200300007893,51,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200300008079,17,"32030001,32030002","32030001,32030002"
200300008100,11,"32030001,32030002",NULL
200300008239,300,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010",NULL
200300008380,300,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010"
200300008430,10,"32030001,32030002","32030001,32030002"
200300008650,10,"32030001,32030002","32030001,32030002"
200300008744,7,32030001,32030001
200300008927,300,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008,32030009,32030010"
200300009007,88,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
200300009312,3,32030001,32030001
200300009441,200,"32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008","32030001,32030002,32030003,32030004,32030005,32030006,32030007,32030008"
200300009474,20,"32030001,32030002","32030001,32030002"
200300009849,10,"32030001,32030002","32030001,32030002"
200300010013,20,"32030001,32030002","32030001,32030002"
200300010455,10,"32030001,32030002",NULL
200300010767,94,"32030001,32030002,32030003,32030004,32030005","32030001,32030002,32030003,32030004,32030005"
200300010791,10,"32030001,32030002","32030001,32030002"
200300010883,5,32030001,32030001
200300011410,70,"32030001,32030002,32030003,32030004","32030001,32030002,32030003,32030004"
200300011747,9,32030001,32030001
200300012845,14,"32030001,32030002","32030001,32030002"
200300013114,5,32030001,32030001
200300013206,22,"32030001,32030002","32030001,32030002"
200300013334,18,"32030001,32030002","32030001,32030002"
200300013339,31,"32030001,32030002,32030003","32030001,32030002,32030003"
200300013435,40,"32030001,32030002,32030003",NULL
200300013944,20,"32030001,32030002","32030001,32030002"
200300013960,30,"32030001,32030002,32030003","32030001,32030002,32030003"
